Bandit,Reward,Algorithm
3,4.846230325414156,Thompson Sampling
3,4.3842739678414935,Thompson Sampling
3,3.7097990913705674,Thompson Sampling
3,4.526477086389253,Thompson Sampling
3,3.1020417796922573,Thompson Sampling
3,4.793960831252865,Thompson Sampling
3,3.9695945639148205,Thompson Sampling
3,2.644450641024176,Thompson Sampling
3,3.5049997028693425,Thompson Sampling
3,5.355289773624014,Thompson Sampling
3,4.5653565489307475,Thompson Sampling
3,2.9614030708912793,Thompson Sampling
3,6.152313265722055,Thompson Sampling
3,3.8005986495013886,Thompson Sampling
3,3.986012545173944,Thompson Sampling
3,5.278270963712853,Thompson Sampling
3,3.474427948928928,Thompson Sampling
3,4.313277020331255,Thompson Sampling
3,4.69795303904297,Thompson Sampling
3,5.7328474346548255,Thompson Sampling
3,3.476167157974335,Thompson Sampling
3,4.752252369298482,Thompson Sampling
3,5.039483750166755,Thompson Sampling
3,4.4864844151636225,Thompson Sampling
3,3.3404168826593157,Thompson Sampling
3,3.1349453637172924,Thompson Sampling
3,3.1555544218954075,Thompson Sampling
3,3.2256177115294467,Thompson Sampling
3,3.92794539792709,Thompson Sampling
3,5.451697438795968,Thompson Sampling
3,3.9868638230134623,Thompson Sampling
3,3.727335042310535,Thompson Sampling
3,4.112712107483991,Thompson Sampling
3,4.549209274332111,Thompson Sampling
3,3.308756706921687,Thompson Sampling
3,5.694470034443009,Thompson Sampling
3,4.149826361989087,Thompson Sampling
3,2.736452957324694,Thompson Sampling
3,4.813328708710265,Thompson Sampling
3,4.265495151088803,Thompson Sampling
3,3.134365927983278,Thompson Sampling
3,3.5803493909391464,Thompson Sampling
3,2.844641266560849,Thompson Sampling
3,4.232028821305808,Thompson Sampling
3,5.201903132110547,Thompson Sampling
3,6.050406711931922,Thompson Sampling
3,3.8108646284999965,Thompson Sampling
3,5.020062612110635,Thompson Sampling
3,1.9534458371435495,Thompson Sampling
3,2.4242347942529276,Thompson Sampling
3,2.906144597932773,Thompson Sampling
3,4.616476079043523,Thompson Sampling
3,3.7057308744372683,Thompson Sampling
3,6.300162308131618,Thompson Sampling
3,2.834696743127818,Thompson Sampling
3,4.455002584309577,Thompson Sampling
3,2.591612013339251,Thompson Sampling
3,5.435525959871088,Thompson Sampling
3,4.2521834090383965,Thompson Sampling
3,3.5306051655950412,Thompson Sampling
3,4.049199265190643,Thompson Sampling
3,3.044161314832318,Thompson Sampling
3,4.236631711647655,Thompson Sampling
3,5.8362485103530695,Thompson Sampling
3,4.694047573241744,Thompson Sampling
3,4.598731085489872,Thompson Sampling
3,3.539383033911981,Thompson Sampling
3,2.2222775898038645,Thompson Sampling
3,6.296144807533867,Thompson Sampling
3,4.006686847518042,Thompson Sampling
3,4.059197995523646,Thompson Sampling
3,4.328149535602406,Thompson Sampling
3,4.26493253335251,Thompson Sampling
3,5.11027207726506,Thompson Sampling
3,3.499688554070261,Thompson Sampling
3,4.839438903016347,Thompson Sampling
3,3.4135625524182664,Thompson Sampling
3,2.749447726078718,Thompson Sampling
3,4.533496573080405,Thompson Sampling
3,3.7168715232832534,Thompson Sampling
3,4.220775831182237,Thompson Sampling
3,5.138323330573967,Thompson Sampling
3,5.6665310298145535,Thompson Sampling
3,3.2383799730360066,Thompson Sampling
3,3.7989059472136213,Thompson Sampling
3,5.192902897237778,Thompson Sampling
3,3.9587359589277673,Thompson Sampling
3,2.6607646967778638,Thompson Sampling
3,4.02231558693173,Thompson Sampling
3,4.38411320083654,Thompson Sampling
3,4.594659490285624,Thompson Sampling
3,4.282274122550538,Thompson Sampling
3,5.2967371072864164,Thompson Sampling
3,4.540355644315755,Thompson Sampling
3,3.108789749705495,Thompson Sampling
3,5.181141477871289,Thompson Sampling
3,2.52838205099746,Thompson Sampling
3,4.7106714299058625,Thompson Sampling
3,4.381880339966399,Thompson Sampling
3,4.681590194903248,Thompson Sampling
3,3.9766631022058174,Thompson Sampling
3,2.712953225648121,Thompson Sampling
3,2.946835940600546,Thompson Sampling
3,4.33666907984776,Thompson Sampling
3,4.308151008700963,Thompson Sampling
3,5.141080329113782,Thompson Sampling
3,4.642119321830027,Thompson Sampling
3,3.0535946667788547,Thompson Sampling
3,2.851910826820089,Thompson Sampling
3,6.553214707980319,Thompson Sampling
3,5.286749990373421,Thompson Sampling
3,3.265549800789766,Thompson Sampling
3,4.315549485150287,Thompson Sampling
3,3.621896780489146,Thompson Sampling
3,4.161017083181063,Thompson Sampling
3,5.568973517333425,Thompson Sampling
3,3.1789127833343986,Thompson Sampling
3,5.278240806480584,Thompson Sampling
3,4.4026924860417,Thompson Sampling
3,5.299002763413355,Thompson Sampling
3,4.979276793379231,Thompson Sampling
3,4.690123934706958,Thompson Sampling
3,4.762343692284403,Thompson Sampling
3,1.988384360291406,Thompson Sampling
3,4.013995267289783,Thompson Sampling
3,4.1109128803278425,Thompson Sampling
3,4.888255929779759,Thompson Sampling
3,3.3594736029915353,Thompson Sampling
3,2.4213705528956666,Thompson Sampling
3,3.051088479431555,Thompson Sampling
3,3.5649251243130067,Thompson Sampling
3,2.2712340834169664,Thompson Sampling
3,3.513833320180783,Thompson Sampling
3,4.646020044920269,Thompson Sampling
3,2.1863759155595868,Thompson Sampling
3,3.9645118421162806,Thompson Sampling
3,4.648784581768053,Thompson Sampling
3,3.75529848625148,Thompson Sampling
3,4.272124905562041,Thompson Sampling
3,2.840671771245546,Thompson Sampling
3,5.865060686152523,Thompson Sampling
3,3.3349848528659054,Thompson Sampling
3,4.903652341205262,Thompson Sampling
3,4.1120368304596155,Thompson Sampling
3,4.528085961156838,Thompson Sampling
3,2.6212712439601535,Thompson Sampling
3,5.547225339304313,Thompson Sampling
3,3.9979665744026733,Thompson Sampling
3,2.2823141333070973,Thompson Sampling
3,3.218197163814328,Thompson Sampling
3,3.8268500092800033,Thompson Sampling
3,5.035641230217526,Thompson Sampling
3,3.4981650495462695,Thompson Sampling
3,5.123611574250112,Thompson Sampling
3,1.928692850818154,Thompson Sampling
3,5.656821371138509,Thompson Sampling
3,4.097253947690966,Thompson Sampling
3,3.941688151288802,Thompson Sampling
3,4.068386830260833,Thompson Sampling
3,5.163143816330526,Thompson Sampling
3,4.7993502711017175,Thompson Sampling
3,3.3205859831839137,Thompson Sampling
3,6.986656644129278,Thompson Sampling
3,3.3096296020774085,Thompson Sampling
3,5.268479978672712,Thompson Sampling
3,2.818329682433218,Thompson Sampling
3,3.3993313751405707,Thompson Sampling
3,3.295845303913718,Thompson Sampling
3,3.7135499739008155,Thompson Sampling
3,2.9886062284998465,Thompson Sampling
3,3.9800127899709703,Thompson Sampling
3,4.542175905261873,Thompson Sampling
3,2.8800298534702433,Thompson Sampling
3,3.6681157434543508,Thompson Sampling
3,4.619350195651704,Thompson Sampling
3,3.4750848700371115,Thompson Sampling
3,4.428532810448942,Thompson Sampling
3,3.989847121877234,Thompson Sampling
3,3.5236087049912976,Thompson Sampling
3,3.7544434924559407,Thompson Sampling
3,3.0718664593532723,Thompson Sampling
3,3.822127818918618,Thompson Sampling
3,4.204406920817448,Thompson Sampling
3,5.82545679021779,Thompson Sampling
3,3.7881040143316422,Thompson Sampling
3,3.7866631124800043,Thompson Sampling
3,5.205440158956419,Thompson Sampling
3,3.900459638639318,Thompson Sampling
3,6.030911417468941,Thompson Sampling
3,3.207567712557503,Thompson Sampling
3,4.310862628928235,Thompson Sampling
3,3.7884385333945323,Thompson Sampling
3,3.0050632093162752,Thompson Sampling
3,2.6520529713272527,Thompson Sampling
3,5.052569985853481,Thompson Sampling
3,4.107698983118116,Thompson Sampling
3,4.2537190302329995,Thompson Sampling
3,5.066405236585875,Thompson Sampling
3,3.848407109402092,Thompson Sampling
3,5.987606020263861,Thompson Sampling
3,3.9099308604371896,Thompson Sampling
3,3.172593440810001,Thompson Sampling
3,3.303231671294426,Thompson Sampling
3,3.023742306383701,Thompson Sampling
3,4.010485116098952,Thompson Sampling
3,4.455279703613411,Thompson Sampling
3,5.7354261580422135,Thompson Sampling
3,2.615175402851443,Thompson Sampling
3,4.389932283928034,Thompson Sampling
3,3.299346426966527,Thompson Sampling
3,5.604197738311582,Thompson Sampling
3,5.846054215190193,Thompson Sampling
3,3.784938895233775,Thompson Sampling
3,3.3206233950448514,Thompson Sampling
3,4.119209890724024,Thompson Sampling
3,3.5890554719932277,Thompson Sampling
3,4.535851476581963,Thompson Sampling
3,2.6802424317888294,Thompson Sampling
3,4.396105321118242,Thompson Sampling
3,3.949770711138956,Thompson Sampling
3,3.7368403770151706,Thompson Sampling
3,3.761575298548551,Thompson Sampling
3,4.713680220041876,Thompson Sampling
3,4.251794255208039,Thompson Sampling
3,3.395053669105201,Thompson Sampling
3,4.114563130718336,Thompson Sampling
3,3.777171926489938,Thompson Sampling
3,3.8760947297260238,Thompson Sampling
3,3.3179091879289793,Thompson Sampling
3,4.5987707079945865,Thompson Sampling
3,3.153041538344777,Thompson Sampling
3,2.7162945437896036,Thompson Sampling
3,5.532299280193777,Thompson Sampling
3,4.162966123068534,Thompson Sampling
3,4.902379948477422,Thompson Sampling
3,4.5287255735281065,Thompson Sampling
3,4.0001436169539115,Thompson Sampling
3,1.2869544239833686,Thompson Sampling
3,4.833042099434666,Thompson Sampling
3,4.639600403149929,Thompson Sampling
3,2.4597863547718,Thompson Sampling
3,4.2313236815164466,Thompson Sampling
3,3.7290383790904365,Thompson Sampling
3,3.4658786607277685,Thompson Sampling
3,3.617623087023353,Thompson Sampling
3,4.811288160818279,Thompson Sampling
3,4.5994419605847945,Thompson Sampling
3,3.8329079849099985,Thompson Sampling
3,2.6788890612970624,Thompson Sampling
3,4.158115764122691,Thompson Sampling
3,4.6862014864343,Thompson Sampling
3,2.7717438743131826,Thompson Sampling
3,4.310373033075406,Thompson Sampling
3,2.6281016023029444,Thompson Sampling
3,7.301832932295419,Thompson Sampling
3,5.8918411991594475,Thompson Sampling
3,5.071770387119327,Thompson Sampling
